Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
102,Lalengmawia / Lalengmawia,in IND,MF,NorthEast Utd,18,2000,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Daniel Lalhlimpuia / Daniel-Lalhlimpuia,in IND,FW,Delhi Dynamos,21,1997,9,3,269,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Samuel Lalmuanpuia / Samuel-Lalmuanpuia,in IND,MF,Kerala Blasters,21,1998,3,0,43,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Edmund Lalrindika / Edmund-Lalrindika,in IND,FW,Bengaluru,20,1999,2,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Jerry Lalrinzuala / Jerry-Lalrinzuala,in IND,DF,Chennaiyin,21,1998,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
107,K Lalthathanga / K-Lalthathanga,in IND,MF,NorthEast Utd,21,1998,8,5,473,0,1,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
108,Mohamed Larbi / Mohamed-Larbi,tn TUN,MF,Mumbai City,32,1987,11,11,978,1,3,1,2,1,0,0.09,0.28,0.37,0.00,0.28,Matches
109,Kean Lewis / Kean-Lewis,in IND,MF,Bengaluru,26,1992,3,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Joyner Lourenco / Joyner-Lourenco,in IND,DF,Jamshedpur,27,1991,2,1,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Eugeneson Lyngdoh / Eugeneson-Lyngdoh,in IND,MF,Bengaluru,32,1986,4,0,35,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Paulo Machado / Paulo-Machado,pt POR,MF,Mumbai City,33,1986,9,8,642,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
113,Seiminmang Manchong / Seiminmang-Manchong,in IND,FW,Delhi Dynamos,,,3,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Mandi / Mandi,es ESP,MF,Kolkata,30,1989,3,3,267,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Marcelinho / Marcelinho,br BRA,FWMF,Hyderabad FC,32,1987,9,9,748,2,1,0,0,4,0,0.24,0.12,0.36,0.24,0.36,Matches
116,Jerry Mawihmingthanga / Jerry-Mawihmingthanga,in IND,MF,Delhi Dynamos,22,1997,9,9,767,1,4,0,0,0,0,0.12,0.47,0.59,0.12,0.59,Matches
117,Carl McHugh / Carl-McHugh,ie IRL,DF,Kolkata,26,1993,6,6,510,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
118,Ninthoinganba Meetei / Ninthoinganba-Meetei,in IND,MF,NorthEast Utd,18,2001,3,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Memo / Memo,br BRA,MF,Jamshedpur,31,1988,10,9,855,0,1,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
120,Raphaël Messi Bouli / Raphael-Messi-Bouli,cm CMR,DF,Kerala Blasters,27,1992,10,6,586,4,0,1,1,2,0,0.61,0.00,0.61,0.46,0.46,Matches
121,Víctor Mongil / Victor-Mongil,es ESP,DF,Kolkata,27,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Aitor Monroy Rueda / Aitor-Monroy-Rueda,es ESP,MF,Jamshedpur,31,1987,10,10,900,1,0,1,1,2,0,0.10,0.00,0.10,0.00,0.00,Matches
123,Mohammad Nawaz / Mohammad-Nawaz,in IND,GK,Goa,19,2000,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Bartholomew Ogbeche / Bartholomew-Ogbeche,ng NGA,FW,Kerala Blasters,34,1984,8,7,597,4,0,2,2,1,0,0.60,0.00,0.60,0.30,0.30,Matches
125,Manuel Onwu / Manuel-Onwu,es ESP,FW,Bengaluru,31,1988,4,3,276,0,1,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
126,Erik Paartalu / Erik-Paartalu,au AUS,MF,Bengaluru,33,1986,8,8,720,1,3,0,0,3,0,0.12,0.37,0.50,0.12,0.50,Matches
127,Subrata Pal / Subrata-Pal,in IND,GK,Jamshedpur,32,1986,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Sahil Panwar / Sahil-Panwar,in IND,DF,Hyderabad FC,19,1999,6,4,294,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
129,Sumeet Passi / Sumeet-Passi,in IND,FW,Jamshedpur,24,1994,9,4,479,0,1,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches
130,Carlos Peña / Carlos-Pena,es ESP,DF,Goa,36,1983,11,11,983,2,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
131,Keegan Pereira / Keegan-Pereira,in IND,DF,Jamshedpur,31,1987,4,3,261,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
132,Martín Pérez Guedes / Martin-Perez-Guedes,ar ARG,MF,Delhi Dynamos,27,1991,10,3,398,1,1,1,1,0,0,0.23,0.23,0.45,0.00,0.23,Matches
133,Piti / Piti,es ESP,FW,Jamshedpur,38,1981,6,6,417,1,2,1,1,1,0,0.22,0.43,0.65,0.00,0.43,Matches
134,Nikhil Poojari / Nikhil-Poojari,in IND,MF,Hyderabad FC,23,1995,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Rakesh Pradhan / Rakesh-Pradhan,in IND,DF,NorthEast Utd,21,1997,8,8,720,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
136,Rafa / Rafa,es ESP,DFMF,Hyderabad FC,34,1985,5,5,366,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Mohammed Rafi / Mohammed-Rafi,in IND,FW,Kerala Blasters,37,1982,2,0,61,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
